,单词,词频,单词释义
0,abandon,1,"vt.放弃,遗弃;n.放任,狂热"
1,aboard,1,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)"
2,abroad,23,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
3,absence,7,"n.不在,缺席,缺乏,没有"
4,absent,4,"adj.不在的,缺席的,缺少的;vt.缺席"
5,absolute,2,"adj.完全的,绝对的"
6,abstract,8,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
7,abundance,1,"n.丰富,充裕,丰富充裕"
8,abuse,4,"n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂"
9,academy,1,"n.(高等)专科院校,研究院,学会,学术团体,学院"
10,accent,1,"n.重音,口音,重音符"
11,access,33,"n.通路,访问,入门;vt.存取,接近"
12,accident,16,"n.意外事件,事故"
13,accommodate,2,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
14,accompany,1,"vt.陪伴,伴奏"
15,accordance,2,"n.一致,和谐"
16,accordingly,2,"adv.因此,从而"
17,accumulate,1,"v.积聚,堆积"
18,accuracy,1,"n.精确性,正确度"
19,accustomed,1,"adj.通常的,习惯的,按照风俗习惯的"
20,achievement,8,"n.成就,功绩"
21,acid,1,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的"
22,acquaint,1,"vt.使熟知,通知"
23,acquire,10,"vt.获得,学到"
24,action,19,"n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉"
25,active,9,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的;n.[语法]主动语态,积极分子"
26,acute,1,"adj.敏锐的,[医]急性的,剧烈"
27,addition,15,"n.加,加起来,增加物,增加,加法"
28,additional,6,"adj.另外的,附加的,额外的"
29,adjust,6,"vt.调整,调节,校准,使适合"
30,admire,6,"v.赞美,钦佩,羡慕"
31,admit,2,"v.容许,承认,接纳"
