,单词,后缀,单词释义
0,abandon,on 表名词，指人、物和一些物理学上的名词,"vt.放弃,遗弃;n.放任,狂热"
1,ability,ty 表名词，用在形容词后，把形容词变成名词,"n.能力,才干"
2,aboard,ard 表名词， 不好的人,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)"
3,abolish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vt.废止,废除(法律、制度、习俗等)"
4,abortion,on 表名词，指人、物和一些物理学上的名词,"n.流产,堕胎,失败,夭折,中止,早产"
5,absence,ence 表名词， 性质，状态,"n.不在,缺席,缺乏,没有"
6,absent,ent 表形容词， ...的,"adj.不在的,缺席的,缺少的;vt.缺席"
7,abundance,ance 表名词， 性质，状况,"n.丰富,充裕,丰富充裕"
8,abundant,ant 表形容词， ...的,"adj.丰富的,充裕的,丰富,盛产,富于"
9,academic,"ic 表形容词, ....的 ，有时作tic","adj.学院的,理论的"
10,academy,y 表名词，加在形容词或以r结尾的单词后。,"n.(高等)专科院校,研究院,学会,学术团体,学院"
11,accent,ent 表形容词， ...的,"n.重音,口音,重音符"
12,access,ess 表名词， 女性，雌性,"n.通路,访问,入门;vt.存取,接近"
13,accessory,ry 表示集合名词,"n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的"
14,accidental,al 表名词， 人，物，状态,"adj.意外的,非主要的,附属的;n.非本质属性,次要方面"
15,accommodation,ation 表名词， 行为，过程，结果,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
16,accompany,y 表名词，加在形容词或以r结尾的单词后。,"vt.陪伴,伴奏"
17,accordance,ance 表名词， 性质，状况,"n.一致,和谐"
18,according,ing 表形容词， 正...的 ， 令人...的,adv.依照
19,accordingly,ly 表形容词，通常加在名词后。,"adv.因此,从而"
20,accountant,ant 表形容词， ...的,"n.会计(员),会计师"
21,accumulate,ate 表动词， 做，造成,"v.积聚,堆积"
22,accuracy,"cy 表名词，也作acy, 性质，状态","n.精确性,正确度"
23,achievement,ment 表名词， 行为或结果,"n.成就,功绩"
24,acid,id 表形容词， 如...的,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的"
25,acquaintance,ance 表名词， 性质，状况,"n.相识,熟人"
