,单词,前缀,单词释义
0,abandon,ab 加在同辅音字母词根前，表示 一再 等加强意,"vt.放弃,遗弃;n.放任,狂热"
1,ability,"ab 加在词根前,表示 相反，变坏，离去 等","n.能力,才干"
2,aboard,ab 加在同辅音字母词根前，表示 一再 等加强意,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)"
3,abolish,"ab 加在词根前,表示 相反，变坏，离去 等","vt.废止,废除(法律、制度、习俗等)"
4,abroad,ab 加在同辅音字母词根前，表示 一再 等加强意,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
5,abrupt,"ab 加在词根前,表示 相反，变坏，离去 等","adj.突然的,陡峭的,生硬的"
6,absent,"abs 加在词根前,表示 相反，变坏，离去 等","adj.不在的,缺席的,缺少的;vt.缺席"
7,absolute,ab 加在同辅音字母词根前，表示 一再 等加强意,"adj.完全的,绝对的"
8,absorb,"ab 加在词根前,表示 相反，变坏，离去 等","vt.吸收,吸引"
9,absurd,"abs 加在词根前,表示 相反，变坏，离去 等","adj.荒谬的,可笑的"
10,abundance,ab 加在同辅音字母词根前，表示 一再 等加强意,"n.丰富,充裕,丰富充裕"
11,abundant,"ab 加在词根前,表示 相反，变坏，离去 等","adj.丰富的,充裕的,丰富,盛产,富于"
12,academic,ac 加在同辅音字母词根前，表示 一再 等加强意,"adj.学院的,理论的"
13,accelerate,ac 加在同辅音字母词根前，表示 一再 等加强意,"v.加速,促进"
14,acceptance,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.接受,承诺,容忍,赞同,相信"
15,accessory,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的"
16,accidental,ac 加在同辅音字母词根前，表示 一再 等加强意,"adj.意外的,非主要的,附属的;n.非本质属性,次要方面"
17,accommodation,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
18,accomplish,ac 加在同辅音字母词根前，表示 一再 等加强意,"vt.完成,达到,实现"
19,accordance,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.一致,和谐"
20,accordingly,ac 加在同辅音字母词根前，表示 一再 等加强意,"adv.因此,从而"
21,accountant,ac 加在同辅音字母词根前，表示 一再 等加强意,"n.会计(员),会计师"
